id_fonction; catalytic activity; keywords_biological_process; keywords_molecular_function; keywords_cellular_component
FU7285; None; None; None; None
FU7286; None; None; None; None
FU7287; None; None; Ribonucleoprotein, Ribosomal protein; None
FU7288; None; None; None; None
FU7289; None; None; Ligase; None
FU7290; None; None; None; None
FU7291; None; None; None; None
FU7292; None; None; None; None
FU7293; None; None; None; None
FU7294; None; None; None; None
FU7295; None; None; None; Membrane
FU7296; None; None; None; None
FU7297; None; None; None; None
FU7298; None; None; None; Membrane
FU7299; None; None; None; None
FU7300; None; None; None; None
FU7301; None; None; None; None
FU7302; None; None; None; None
FU7303; None; None; None; None
FU7304; None; None; None; None
FU7305; None; None; None; None
FU7306; None; None; None; None
FU7307; None; None; None; None
FU7308; None; None; None; Membrane
FU7309; None; None; None; None
FU7310; None; None; Kinase, Transferase; Membrane
FU7311; None; None; None; None
FU7312; None; None; None; None
FU7313; None; None; Kinase, Receptor, Serine/threonine-protein kinase, Transferase; Membrane
FU7314; None; None; None; None
FU7315; None; None; None; None
FU7316; None; None; Monooxygenase, Oxidoreductase; None
FU7317; None; None; Hydrolase; None
FU7318; None; None; None; Membrane
FU7319; None; None; None; Membrane
FU7320; None; None; Acyltransferase, Transferase; None
FU7321; None; None; None; None
FU7322; None; None; None; None
FU7323; None; None; None; None
FU7324; None; None; None; None
FU7325; None; None; None; None
FU7326; None; None; None; None
FU7327; None; None; None; None
FU7328; None; None; None; None
FU7329; None; None; None; None
FU7330; 2 phenolic donor + H(2)O(2) = 2 phenoxyl radical of the donor + 2 H(2)O.; None; Oxidoreductase, Peroxidase; None
FU7331; None; None; None; Nucleus
FU7332; None; Protein biosynthesis; Aminoacyl-tRNA synthetase, Ligase; None
FU7333; None; None; Chaperone; Cytoplasm
FU7334; None; None; None; None
FU7335; None; None; None; None
FU7336; None; None; None; None
FU7337; None; None; None; None
FU7338; None; None; None; None
FU7339; None; Transcription, Transcription regulation; None; None
FU7340; None; Stress response; None; None
FU7341; None; None; None; None
FU7342; None; None; None; None
FU7343; None; None; None; None
FU7344; None; None; None; None
FU7345; None; None; None; None
FU7346; None; None; None; None
FU7347; None; None; None; None
FU7348; None; None; Kinase, Transferase; None
FU7349; None; Carbohydrate metabolism, Polysaccharide degradation, Xylan degradation; None; None
FU7350; None; None; None; None
FU7351; None; None; None; None
FU7352; None; None; None; None
FU7353; None; None; Aminopeptidase, Hydrolase, Protease; None
FU7354; None; Cell wall biogenesis/degradation; Glycosidase, Hydrolase; Secreted
FU7355; None; None; None; None
FU7356; None; None; None; None
FU7357; None; None; None; None
FU7358; None; None; None; Membrane
FU7359; None; None; None; None
FU7360; None; None; None; None
FU7361; None; None; None; Membrane
FU7362; None; None; None; None
FU7363; None; None; Kinase, Receptor, Serine/threonine-protein kinase, Transferase; Membrane
FU7364; None; None; None; None
FU7365; None; None; None; None
FU7366; None; None; Ribonucleoprotein, Ribosomal protein; None
FU7367; None; None; None; None
FU7368; None; None; None; Membrane
FU7369; None; None; Hydrolase; None
FU7370; None; None; None; None
FU7371; None; None; None; None
FU7372; None; None; Ligase; None
FU7373; None; None; None; Membrane
FU7374; None; None; None; None
FU7375; None; None; None; None
FU7376; None; None; None; Membrane
FU7377; None; None; None; Membrane
FU7378; None; None; None; None
FU7379; None; None; None; None
FU7380; None; None; None; None
FU7381; None; None; None; None
FU7382; None; None; None; None
FU7383; None; None; None; None
FU7384; None; Antiport, Ion transport, Sodium transport, Transport; None; Membrane
FU7385; None; None; None; None
FU7386; None; None; None; None
FU7387; None; None; None; None
FU7388; None; None; None; None
FU7389; None; None; None; None
FU7390; None; None; Hydrolase, Protease; None
FU7391; None; None; Kinase, Receptor, Serine/threonine-protein kinase, Transferase; Membrane
FU7392; None; None; None; None
FU7393; None; None; None; None
FU7394; None; None; None; None
FU7395; None; None; None; None
FU7396; None; None; Kinase, Receptor, Transferase; Membrane
FU7397; A phosphatidylcholine + H(2)O = choline + a phosphatidate.; Lipid degradation, Lipid metabolism; Hydrolase; None
FU7398; None; None; None; None
FU7399; None; None; None; None
FU7400; None; None; None; Membrane
FU7401; None; None; None; Membrane
FU7402; None; None; None; Membrane
FU7403; None; None; None; None
FU7404; None; None; None; Membrane
FU7405; None; None; None; None
FU7406; None; None; Hydrolase; None
FU7407; None; None; None; None
FU7408; None; None; None; None
FU7409; None; Photosynthesis; None; Chloroplast, Membrane, Photosystem II, Plastid, Thylakoid
FU7410; None; None; None; None
FU7411; None; None; None; Membrane
FU7412; None; Electron transport, Transport; None; Membrane
FU7413; None; None; None; None
FU7414; None; None; None; None
FU7415; ATP + a protein = ADP + a phosphoprotein.; None; Kinase, Serine/threonine-protein kinase, Transferase; Membrane
FU7416; None; None; None; None
FU7417; None; None; None; None
FU7418; None; None; None; None
FU7419; None; None; None; None
FU7420; None; None; None; None
FU7421; None; None; Aspartyl protease, Hydrolase, Protease; None
FU7422; None; None; None; None
FU7423; None; None; None; None
FU7424; None; None; None; None
FU7425; None; None; None; None
FU7426; None; None; None; None
FU7427; None; None; Lyase; None
FU7428; None; None; Ribonucleoprotein, Ribosomal protein; None
FU7429; None; None; None; None
FU7430; None; None; None; None
FU7431; None; Protein biosynthesis; Initiation factor; Cytoplasm
FU7432; None; None; None; Membrane
FU7433; None; None; None; None
FU7434; None; None; None; None
FU7435; None; None; None; Membrane
FU7436; None; None; None; Microtubule
FU7437; None; None; None; None
FU7438; None; None; None; None
FU7439; None; None; None; Membrane
FU7440; None; None; Methyltransferase, Transferase; None
FU7441; None; None; None; Membrane
FU7442; None; None; None; None
FU7443; None; None; Transferase; None
FU7444; None; None; Hydrolase; None
FU7445; None; None; None; None
FU7446; None; None; None; None
FU7447; None; None; None; None
FU7448; None; None; None; None
FU7449; None; None; None; None
FU7450; None; None; Acyltransferase, Transferase; None
FU7451; None; None; None; None
FU7452; None; None; None; None
FU7453; None; Transcription, Transcription regulation; None; Nucleus
FU7454; None; None; None; None
FU7455; None; None; None; None
FU7456; None; None; None; None
FU7457; None; None; None; None
FU7458; None; None; Acyltransferase, Transferase; Membrane
FU7459; None; None; None; Membrane
FU7460; None; None; None; None
FU7461; None; None; None; None
FU7462; None; None; None; Membrane
FU7463; None; None; Hydrolase; None
FU7464; None; None; None; None
FU7465; None; None; None; None
FU7466; None; None; None; None
FU7467; None; None; None; None
FU7468; None; None; None; Membrane
FU7469; None; None; None; None
FU7470; None; None; Ribonucleoprotein, Ribosomal protein; None
FU7471; None; Transcription, Transcription regulation; None; Nucleus
FU7472; None; None; None; Membrane
FU7473; None; None; Kinase, Serine/threonine-protein kinase, Transferase; None
FU7474; None; None; None; None
FU7475; None; None; None; None
FU7476; None; None; None; None
FU7477; None; None; Glycosyltransferase, Transferase; None
FU7478; None; None; None; None
FU7479; None; None; None; None
FU7480; None; None; None; None
FU7481; None; None; Hydrolase, Protease, Serine protease; None
FU7482; None; None; None; None
FU7483; None; None; None; None
FU7484; None; None; None; None
FU7485; None; None; None; Membrane
FU7486; None; None; None; None
FU7487; None; None; Acyltransferase, Transferase; None
FU7488; None; None; None; None
FU7489; None; None; None; None
FU7490; None; None; None; None
FU7491; None; None; None; None
FU7492; None; None; None; None
FU7493; None; None; None; Membrane
FU7494; None; None; Hydrolase, Protease; None
FU7495; None; None; None; None
FU7496; None; None; None; None
FU7497; None; None; None; None
FU7498; None; None; None; None
FU7499; None; None; None; None
FU7500; None; None; None; Membrane
FU7501; None; None; None; None
FU7502; None; None; None; None
FU7503; None; None; Receptor; None
FU7504; None; None; None; None
FU7505; None; None; None; None
FU7506; None; None; None; Membrane
FU7507; None; None; None; Membrane
FU7508; None; None; None; None
FU7509; None; None; None; Membrane
FU7510; None; None; Kinase, Transferase; None
FU7511; None; None; None; None
FU7512; None; None; None; None
FU7513; None; None; None; None
FU7514; None; None; None; Membrane
FU7515; None; None; None; None
FU7516; None; None; None; None
FU7517; None; None; None; Membrane
FU7518; None; None; None; None
FU7519; None; None; Ribonucleoprotein, Ribosomal protein; None
FU7520; None; None; None; None
FU7521; None; None; None; None
FU7522; None; None; Hydrolase; None
FU7523; None; None; None; None
FU7524; Breaks a beta-(1->4) bond in the backbone of a xyloglucan and transfers the xyloglucanyl segment on to O-4 of the non-reducing terminal glucose residue of an acceptor, which can be a xyloglucan or an oligosaccharide of xyloglucan.; Cell wall biogenesis/degradation; Glycosidase, Hydrolase, Transferase; Apoplast, Cell wall, Secreted
FU7525; None; None; None; None
FU7526; None; None; None; None
FU7527; None; None; None; None
FU7528; None; None; None; Membrane
FU7529; None; None; None; None
FU7530; None; None; None; None
FU7531; None; None; None; None
FU7532; None; None; Ribonucleoprotein, Ribosomal protein; None
FU7533; Alpha-D-glucose = beta-D-glucose.; Carbohydrate metabolism; Isomerase, Receptor; None
FU7534; None; None; None; None
FU7535; None; None; None; None
FU7536; None; None; None; None
FU7537; None; None; None; None
FU7538; None; None; None; None
FU7539; None; None; None; None
FU7540; None; None; None; None
FU7541; L-histidinol + H(2)O + 2 NAD(+) = L-histidine + 2 NADH.; Amino-acid biosynthesis, Histidine biosynthesis; Oxidoreductase; Chloroplast, Plastid
FU7542; None; None; None; None
FU7543; None; Photosynthesis; None; Chloroplast, Membrane, Photosystem I, Photosystem II, Plastid, Thylakoid
FU7544; None; None; None; None
FU7545; None; None; None; None
FU7546; None; None; None; None
FU7547; None; None; None; None
FU7548; None; None; Kinase, Receptor, Serine/threonine-protein kinase, Transferase; Membrane
FU7549; None; None; None; Membrane
FU7550; None; None; None; None
FU7551; None; Plant defense; Pathogenesis-related protein; Membrane
FU7552; None; None; None; None
FU7553; None; None; Isomerase, Rotamase; None
FU7554; None; Photosynthesis; None; Chloroplast, Membrane, Photosystem II, Plastid, Thylakoid
FU7555; None; None; None; None
FU7556; None; None; Oxidoreductase; None
FU7557; None; None; None; None
FU7558; None; None; None; None
FU7559; None; None; Hydrolase; None
FU7560; None; None; None; None
FU7561; None; None; None; None
FU7562; None; None; None; None
FU7563; None; None; None; None
FU7564; None; Plant defense; Pathogenesis-related protein; Membrane
FU7565; None; None; None; None
FU7566; None; None; Kinase, Serine/threonine-protein kinase, Transferase; Membrane
FU7567; None; None; Isomerase, Rotamase; None
FU7568; None; None; None; Membrane
FU7569; None; None; None; None
FU7570; None; None; None; None
FU7571; None; None; None; None
FU7572; None; None; Monooxygenase, Oxidoreductase; None
FU7573; None; None; None; None
FU7574; None; None; None; Membrane
FU7575; None; None; None; None
FU7576; None; None; None; None
FU7577; 2 phenolic donor + H(2)O(2) = 2 phenoxyl radical of the donor + 2 H(2)O.; Hydrogen peroxide; Oxidoreductase, Peroxidase; Secreted
FU7578; None; None; None; None
FU7579; None; None; None; Membrane
FU7580; None; None; None; None
FU7581; None; None; None; None
FU7582; None; None; None; None
FU7583; None; None; None; None
FU7584; None; None; Receptor; Membrane
FU7585; None; None; None; None
FU7586; None; None; None; None
FU7587; None; None; None; Membrane
FU7588; None; None; None; None
FU7589; None; None; None; None
FU7590; None; None; None; None
FU7591; None; None; None; None
FU7592; None; None; Isomerase, Rotamase; None
FU7593; None; None; None; None
FU7594; None; None; None; None
FU7595; None; None; None; Membrane
FU7596; None; None; None; None
FU7597; None; None; None; None
FU7598; None; None; None; None
FU7599; None; None; None; None
FU7600; None; None; None; None
FU7601; None; None; None; None
FU7602; None; None; None; None
FU7603; None; None; None; None
FU7604; None; None; None; None
FU7605; None; None; None; None
FU7606; None; Transcription, Transcription regulation; None; Nucleus
FU7607; None; None; None; None
FU7608; None; None; None; None
FU7609; None; None; Hydrolase, Protease, Serine protease; None
FU7610; None; None; Monooxygenase, Oxidoreductase; Membrane
FU7611; None; None; None; None
FU7612; None; Transport; None; Membrane
FU7613; None; None; None; Membrane
FU7614; None; None; None; Membrane
FU7615; None; None; None; None
FU7616; None; None; Monooxygenase, Oxidoreductase; Membrane
FU7617; None; None; Kinase, Transferase; None
FU7618; Pectin + n H(2)O = n methanol + pectate.; None; Aspartyl esterase, Hydrolase; None
FU7619; None; None; None; None
FU7620; None; None; None; None
FU7621; None; None; Glycosyltransferase, Transferase; Golgi apparatus, Membrane
FU7622; None; None; None; None
FU7623; None; None; None; None
FU7624; None; None; None; None
FU7625; None; None; None; None
FU7626; None; None; None; None
FU7627; None; None; None; Membrane
FU7628; None; None; None; None
FU7629; None; None; None; None
FU7630; L-glutamate = 4-aminobutanoate + CO(2).; None; Decarboxylase, Lyase; None
FU7631; Peptidylproline (omega=180) = peptidylproline (omega=0).; None; Isomerase, Rotamase; None
FU7632; None; None; Kinase, Receptor, Transferase; None
FU7633; None; None; Kinase, Transferase; None
FU7634; None; None; None; None
FU7635; None; None; None; None
FU7636; None; None; Transferase; None
FU7637; None; None; None; None
FU7638; None; None; None; None
FU7639; None; None; Hydrolase, Protease, Serine protease; None
FU7640; None; None; None; Membrane
FU7641; None; None; None; None
FU7642; None; None; None; Membrane
FU7643; None; None; Lyase; Membrane
FU7644; None; None; None; Membrane
FU7645; None; None; None; None
FU7646; None; None; None; None
FU7647; None; None; None; Membrane
FU7648; None; None; None; None
FU7649; None; None; None; None
FU7650; None; None; None; None
FU7651; None; None; None; None
FU7652; None; None; None; None
FU7653; None; None; None; Membrane
FU7654; None; None; None; None
FU7655; None; None; None; Membrane
FU7656; None; None; None; None
FU7657; None; None; None; Membrane
FU7658; None; None; None; None
FU7659; None; None; Chaperone; Cytoplasm
FU7660; None; None; None; None
FU7661; None; None; None; None
FU7662; None; None; None; None
FU7663; None; None; None; None
FU7664; None; None; Monooxygenase, Oxidoreductase; Membrane
FU7665; None; None; None; None
FU7666; None; None; None; None
FU7667; None; None; None; None
FU7668; None; None; None; Membrane
FU7669; None; None; None; None
FU7670; None; None; None; None
FU7671; None; None; None; None
FU7672; None; None; None; None
FU7673; None; Transcription, Transcription regulation; None; Nucleus
FU7674; None; None; None; None
FU7675; None; None; Kinase, Transferase; None
FU7676; None; None; None; Membrane
FU7677; None; None; None; Membrane
FU7678; None; None; None; None
FU7679; None; None; Kinase, Receptor, Serine/threonine-protein kinase, Transferase; Membrane
FU7680; None; None; None; None
FU7681; None; None; Kinase, Transferase; None
FU7682; None; None; None; None
FU7683; None; None; None; Membrane
FU7684; None; None; Lyase; None
FU7685; None; None; None; None
FU7686; None; None; Oxidoreductase; None
FU7687; None; None; None; None
FU7688; None; None; None; None
FU7689; None; None; None; None
FU7690; None; None; None; Membrane
FU7691; None; None; None; None
FU7692; None; None; None; None
FU7693; None; None; None; Membrane
FU7694; None; None; None; None
FU7695; None; None; None; None
FU7696; None; None; None; Membrane
FU7697; None; None; None; None
FU7698; None; Transcription, Transcription regulation; None; Nucleus
FU7699; None; None; None; None
FU7700; None; None; None; Membrane
FU7701; None; None; None; None
FU7702; None; None; None; None
FU7703; None; None; None; None
FU7704; None; None; None; None
FU7705; None; None; None; None
FU7706; None; None; None; Membrane
FU7707; None; None; Motor protein; Microtubule
FU7708; None; None; None; None
FU7709; None; None; None; Membrane
FU7710; None; None; None; None
FU7711; None; None; None; Membrane
FU7712; None; None; None; None
FU7713; None; None; None; None
FU7714; None; None; None; None
FU7715; None; None; None; None
FU7716; None; None; Nucleotidyltransferase, RNA-directed DNA polymerase, Transferase; None
FU7717; None; None; None; None
FU7718; None; None; None; None
FU7719; None; None; None; None
FU7720; None; None; None; None
FU7721; None; None; None; None
FU7722; None; None; None; None
FU7723; None; None; None; None
FU7724; None; None; None; None
FU7725; None; None; Glycosyltransferase, Transferase; None
FU7726; None; None; None; None
FU7727; None; None; None; Membrane
FU7728; None; None; None; None
FU7729; None; None; None; None
FU7730; None; None; Transferase; None
FU7731; None; None; Kinase, Serine/threonine-protein kinase, Transferase; Membrane
FU7732; None; None; None; None
FU7733; None; None; None; None
FU7734; None; None; None; None
FU7735; None; None; None; None
FU7736; None; None; None; None
FU7737; None; None; None; Membrane
FU7738; None; None; None; None
FU7739; None; None; None; None
FU7740; None; None; None; None
FU7741; None; None; None; None
FU7742; None; None; Kinase, Serine/threonine-protein kinase, Transferase; Membrane
FU7743; None; None; None; None
FU7744; None; None; None; Membrane
FU7745; None; None; None; None
FU7746; None; None; None; None
FU7747; None; None; None; None
FU7748; None; None; None; Membrane
FU7749; None; None; None; None
FU7750; None; None; Kinase, Serine/threonine-protein kinase, Transferase; Membrane
FU7751; None; None; None; Membrane
FU7752; None; None; None; None
FU7753; None; None; None; None
FU7754; None; None; None; None
FU7755; None; None; None; None
FU7756; None; None; None; None
FU7757; None; None; Acyltransferase, Transferase; Membrane
FU7758; None; None; None; None
FU7759; None; None; None; None
FU7760; None; None; None; None
FU7761; None; None; Ribonucleoprotein, Ribosomal protein; None
FU7762; None; None; None; Membrane
FU7763; None; None; None; Membrane
FU7764; None; None; Kinase, Transferase; None
FU7765; None; None; Nucleotidyltransferase, RNA-directed DNA polymerase, Transferase; Membrane
FU7766; None; None; None; None
FU7767; Hydrolysis of an N(6)-acetyl-lysine residue of a histone to yield a deacetylated histone.; Transcription, Transcription regulation; Chromatin regulator, Hydrolase; Nucleus
FU7768; None; None; None; Membrane
FU7769; None; None; None; None
FU7770; None; None; None; Membrane
FU7771; None; None; None; Membrane
FU7772; None; None; None; None
FU7773; None; None; None; None
FU7774; None; None; None; None
FU7775; None; None; Aspartyl protease, Hydrolase, Protease; None
FU7776; None; Transcription, Transcription regulation; None; Nucleus
FU7777; None; None; None; None
FU7778; None; None; None; None
FU7779; None; None; None; Membrane
FU7780; None; None; None; None
FU7781; None; None; None; None
FU7782; None; None; None; None
FU7783; None; Transcription, Transcription regulation; None; Nucleus
FU7784; None; None; Monooxygenase, Oxidoreductase; None
FU7785; None; None; Ribonucleoprotein, Ribosomal protein; None
FU7786; None; None; None; None
FU7787; None; None; Ribonucleoprotein; Virion
FU7788; None; None; None; None
FU7789; None; None; Kinase, Receptor, Transferase; Membrane
FU7790; None; None; None; None
FU7791; None; None; None; None
FU7792; None; None; None; Membrane
FU7793; None; None; None; None
FU7794; None; None; Hydrolase; None
FU7795; None; None; None; Membrane
FU7796; None; None; Glycosyltransferase, Transferase; None
FU7797; None; None; Oxidoreductase; None
FU7798; None; None; Oxidoreductase, Peroxidase; None
FU7799; None; None; Oxidoreductase; None
FU7800; None; Transcription, Transcription regulation; None; Nucleus
FU7801; None; None; None; None
FU7802; None; None; None; None
FU7803; None; None; None; None
FU7804; None; None; None; None
FU7805; None; None; None; None
FU7806; None; None; None; None
FU7807; None; None; None; None
FU7808; None; None; Hydrolase; None
FU7809; None; None; Lyase; None
FU7810; None; None; None; None
FU7811; None; None; None; None
FU7812; None; None; None; None
FU7813; None; None; None; None
FU7814; None; None; None; None
FU7815; None; None; None; None
FU7816; None; None; None; Membrane
FU7817; None; None; Kinase, Receptor, Serine/threonine-protein kinase, Transferase; Membrane
FU7818; None; None; None; None
FU7819; None; None; None; None
FU7820; None; None; None; None
FU7821; None; None; None; None
FU7822; None; None; None; Membrane
FU7823; None; None; None; Membrane
FU7824; None; None; None; Membrane
FU7825; None; None; None; None
FU7826; None; None; None; Membrane
FU7827; None; None; None; None
FU7828; None; None; None; None
FU7829; None; None; None; None
FU7830; None; None; Kinase, Transferase; None
FU7831; None; None; None; None
FU7832; None; None; None; None
FU7833; None; None; None; Membrane
FU7834; 2 phenolic donor + H(2)O(2) = 2 phenoxyl radical of the donor + 2 H(2)O.; Hydrogen peroxide; Oxidoreductase, Peroxidase; Secreted
FU7835; None; None; Hydrolase; Membrane
FU7836; None; None; Receptor; Membrane
FU7837; None; None; None; None
FU7838; None; None; Isomerase; None
FU7839; None; None; None; None
FU7840; None; None; None; None
FU7841; None; None; None; None
FU7842; None; None; None; None
FU7843; None; None; None; Membrane
FU7844; None; None; None; None
FU7845; None; None; None; Membrane
FU7846; None; None; None; None
FU7847; None; None; None; Membrane
FU7848; None; None; None; None
FU7849; None; None; None; None
FU7850; None; None; None; None
FU7851; None; Ubl conjugation pathway; Kinase, Ligase, Serine/threonine-protein kinase, Transferase; None
FU7852; None; None; None; None
FU7853; None; None; None; None
FU7854; None; None; None; None
FU7855; None; None; None; Membrane
FU7856; None; None; None; None
FU7857; None; None; None; None
FU7858; None; None; Transferase; None
FU7859; None; None; Glycosidase, Hydrolase; None
FU7860; None; None; None; None
FU7861; None; None; None; None
FU7862; None; None; None; None
FU7863; None; Fatty acid biosynthesis, Fatty acid metabolism, Lipid biosynthesis, Lipid metabolism; Transferase; None
FU7864; None; None; None; None
FU7865; None; None; None; None
FU7866; None; None; None; Membrane
FU7867; None; Sugar transport, Transport; None; Membrane
FU7868; None; None; Kinase, Receptor, Serine/threonine-protein kinase, Transferase; Membrane
FU7869; None; None; None; None
FU7870; None; None; Kinase, Receptor, Serine/threonine-protein kinase, Transferase; Membrane
FU7871; None; Hydrogen ion transport, Ion transport, Transport; None; None
FU7872; None; None; None; Membrane
FU7873; None; None; None; None
FU7874; None; None; None; None
FU7875; None; None; None; None
FU7876; None; None; None; None
FU7877; None; None; None; None
FU7878; None; None; Kinase, Receptor, Serine/threonine-protein kinase, Transferase; Membrane
FU7879; None; None; None; None
FU7880; None; None; None; None
FU7881; None; None; None; None
FU7882; None; None; Kinase, Transferase; None
FU7883; None; None; None; Membrane
FU7884; None; None; None; None
FU7885; None; None; Aminotransferase, Transferase; None
FU7886; None; None; None; None
FU7887; None; None; None; None
FU7888; None; None; None; None
FU7889; None; None; None; Membrane
FU7890; None; None; None; Membrane
FU7891; None; None; None; None
FU7892; None; None; None; None
FU7893; None; None; None; Membrane
FU7894; None; None; None; None
FU7895; None; None; None; None
FU7896; None; None; None; None
FU7897; None; None; Aminotransferase, Lyase, Transferase; None
FU7898; None; None; Methyltransferase, Transferase; None
FU7899; None; None; Kinase, Serine/threonine-protein kinase, Transferase; Membrane
FU7900; None; None; None; None
FU7901; None; None; None; None
FU7902; None; None; None; None
FU7903; None; None; None; None
FU7904; None; None; None; None
FU7905; None; None; None; None
FU7906; None; None; None; None
FU7907; None; None; None; Membrane
FU7908; None; None; None; None
FU7909; None; None; None; None
FU7910; None; None; Lyase; None
FU7911; None; None; None; None
FU7912; ATP + a protein = ADP + a phosphoprotein.; None; Kinase, Serine/threonine-protein kinase, Transferase; Membrane
FU7913; None; None; None; Membrane
FU7914; None; None; None; None
FU7915; None; None; None; None
FU7916; None; None; None; None
FU7917; None; None; None; Membrane
FU7918; None; None; Methyltransferase, Transferase; None
FU7919; 2 phenolic donor + H(2)O(2) = 2 phenoxyl radical of the donor + 2 H(2)O.; Hydrogen peroxide; Oxidoreductase, Peroxidase; Secreted
FU7920; None; None; None; None
FU7921; None; None; None; None
FU7922; None; None; None; Proteasome
FU7923; None; None; None; None
FU7924; None; Protein biosynthesis; Initiation factor; None
FU7925; None; None; None; None
FU7926; None; None; None; None
FU7927; None; None; None; None
FU7928; None; None; Ribonucleoprotein, Ribosomal protein; None
FU7929; None; None; None; None
FU7930; None; None; None; None
FU7931; None; None; None; None
FU7932; None; None; None; None
FU7933; None; None; None; None
FU7934; None; None; None; None
FU7935; None; None; None; None
FU7936; None; None; None; None
FU7937; None; None; None; None
FU7938; None; None; Oxidoreductase; None
FU7939; None; None; None; None
FU7940; None; None; None; None
FU7941; None; None; None; Membrane
FU7942; None; None; None; Membrane
FU7943; None; None; None; None
FU7944; None; None; None; Membrane
FU7945; None; None; None; None
FU7946; None; None; None; None
FU7947; None; None; None; None
FU7948; None; None; None; None
FU7949; None; None; Methyltransferase, Transferase; None
FU7950; None; None; None; None
FU7951; None; None; None; None
FU7952; ATP + L-glutamate + NH(3) = ADP + phosphate + L-glutamine.; None; Ligase; None
FU7953; None; None; None; None
FU7954; None; None; None; None
FU7955; None; None; None; None
FU7956; Citrate = isocitrate.; None; Lyase; None
FU7957; None; None; None; None
FU7958; None; None; None; None
FU7959; None; Ubl conjugation pathway; Ligase; None
FU7960; None; None; None; None
FU7961; None; None; None; None
FU7962; None; None; None; None
FU7963; None; None; None; None
FU7964; None; None; Isomerase; None
FU7965; None; None; Ribonucleoprotein, Ribosomal protein; None
FU7966; None; None; None; Membrane
FU7967; ATP + UTP + L-glutamine = ADP + phosphate + CTP + L-glutamate.; Pyrimidine biosynthesis; Ligase; None
FU7968; None; None; None; None
FU7969; None; None; None; None
FU7970; None; None; None; Membrane
FU7971; None; Stress response; None; None
FU7972; None; None; None; None
FU7973; None; None; Kinase, Transferase; None
FU7974; None; None; None; None
FU7975; None; None; None; None
FU7976; None; None; None; None
FU7977; None; None; None; Membrane
FU7978; None; None; None; None
FU7979; None; None; None; None
FU7980; None; None; None; None
FU7981; None; None; None; None
FU7982; None; None; None; None
FU7983; None; None; None; Membrane
FU7984; None; None; Kinase, Transferase; None
FU7985; None; None; None; None
FU7986; None; None; None; None
FU7987; None; None; None; None
FU7988; None; None; None; None
FU7989; None; None; None; None
FU7990; None; None; None; None
FU7991; None; None; None; Membrane
FU7992; None; Hydrogen ion transport, Ion transport, Transport; None; CF(0), Membrane
FU7993; None; None; None; None
FU7994; None; Protein biosynthesis; Aminoacyl-tRNA synthetase, Ligase; None
FU7995; None; None; None; Membrane
FU7996; None; None; None; None
FU7997; None; None; None; None
FU7998; None; None; None; None
FU7999; None; None; None; Endoplasmic reticulum, Membrane
FU8000; None; None; None; None
FU8001; None; None; Ligase; None
FU8002; None; None; None; Membrane
FU8003; None; None; None; None
FU8004; None; None; None; None
FU8005; None; None; None; None
FU8006; None; None; None; None
FU8007; None; None; None; Membrane
FU8008; None; None; None; Nucleus
FU8009; None; None; None; Membrane
FU8010; None; None; None; None
FU8011; None; None; None; None
FU8012; None; None; None; None
FU8013; None; None; None; None
FU8014; None; None; None; None
FU8015; None; None; Nucleotidyltransferase, RNA-directed DNA polymerase, Transferase; None
FU8016; None; None; None; None
FU8017; None; None; None; None
FU8018; None; None; None; None
FU8019; None; None; None; Membrane
FU8020; None; None; None; Membrane
FU8021; None; None; Ribonucleoprotein, Ribosomal protein; None
FU8022; None; None; Ribonucleoprotein, Ribosomal protein; None
FU8023; None; None; Kinase, Serine/threonine-protein kinase, Transferase; Membrane
FU8024; None; None; None; Membrane
FU8025; None; None; None; None
FU8026; None; None; None; Membrane
FU8027; None; None; None; None
FU8028; None; None; Monooxygenase, Oxidoreductase; None
FU8029; None; None; None; None
FU8030; None; None; None; None
FU8031; None; None; None; Membrane
FU8032; None; None; None; None
FU8033; NADPH + n oxidized hemoprotein = NADP(+) + n reduced hemoprotein.; None; Oxidoreductase; Endoplasmic reticulum, Membrane
FU8034; None; None; None; Membrane
FU8035; None; None; None; None
FU8036; None; None; None; None
FU8037; None; None; Acyltransferase, Transferase; Endoplasmic reticulum, Membrane
FU8038; D-glucose 6-phosphate + NADP(+) = 6-phospho-D-glucono-1,5-lactone + NADPH.; Carbohydrate metabolism, Glucose metabolism; Oxidoreductase; None
FU8039; None; None; None; None
FU8040; None; None; None; None
FU8041; None; None; Endonuclease, Exonuclease, Hydrolase, Nuclease; None
FU8042; None; None; None; None
FU8043; None; None; None; None
FU8044; None; None; None; None
FU8045; None; None; None; Membrane
FU8046; None; None; None; Membrane
FU8047; None; None; None; None
FU8048; None; None; None; Membrane
FU8049; ATP + a protein = ADP + a phosphoprotein.; None; Kinase, Serine/threonine-protein kinase, Transferase; None
FU8050; None; None; None; None
FU8051; None; None; None; None
FU8052; None; None; None; None
FU8053; None; None; None; None
FU8054; None; None; None; None
FU8055; None; None; None; Membrane
FU8056; None; None; None; None
FU8057; None; None; Kinase, Receptor, Serine/threonine-protein kinase, Transferase; None
FU8058; None; None; None; None
FU8059; None; None; None; None
FU8060; None; None; None; Membrane
FU8061; None; None; None; None
FU8062; None; None; None; None
FU8063; None; None; None; None
FU8064; None; None; None; None
FU8065; None; None; None; None
FU8066; None; None; None; None
FU8067; None; None; None; Membrane
FU8068; None; None; None; None
FU8069; None; None; Ribonucleoprotein, Ribosomal protein; None
